method,var_mean,var_std,var_ci_lower,var_ci_upper,cvar_mean,cvar_std,cvar_ci_lower,cvar_ci_upper
MC,-0.007345837659948046,0.00010193462793706404,-0.007524194531368943,-0.00714906465775222,-0.009247517613684282,0.00011642733056162414,-0.009445233573398264,-0.009031259600161263
QMC-Sobol,-0.007339757858278753,2.514000992305203e-05,-0.00738546238675228,-0.007297110437177235,-0.009232196696358877,7.043661862784844e-06,-0.009248342863077175,-0.009219862593712658
QMC-Halton,-0.007348197113055878,2.3722306197347755e-05,-0.007392125916855559,-0.0073064529354319565,-0.00923140575210237,1.033788433571788e-05,-0.0092502117981484,-0.009211490590409111
