method,distribution,df,var_mean,var_std,var_rmse,cvar_mean,cvar_std,cvar_rmse
MC (t-dist),Student-t,5,-0.007033138450754749,0.00011217267982417189,0.00011486170301167882,-0.009884947271917433,0.0002053339208260595,0.00021644377439398614
QMC-Sobol (t-dist),Student-t,5,-0.0070307667331977255,2.8455664990519272e-05,3.928171218798034e-05,-0.009892609431618767,2.4660828603039502e-05,6.560296894800354e-05
QMC-Halton (t-dist),Student-t,5,-0.007028390085819741,2.4901504716350637e-05,3.8571761670896304e-05,-0.009888474078859396,3.9039502422302225e-05,7.575991447925663e-05
