vol_scale,method,var_std,relative_efficiency
0.5,MC,6.745423924583357e-05,1.0
0.5,QMC-Sobol,1.9031864737302924e-05,3.544279038176517
1.0,MC,9.679960799984363e-05,1.0
1.0,QMC-Sobol,2.1669274525296137e-05,4.467136538735634
1.5,MC,0.000123329079442482,1.0
1.5,QMC-Sobol,2.7860604108540445e-05,4.426647712375931
2.0,MC,0.00013021252028470377,1.0
2.0,QMC-Sobol,3.4111678315957405e-05,3.8172416812394276
3.0,MC,0.00016280616657355962,1.0
3.0,QMC-Sobol,3.9108219481417814e-05,4.162965451570011
