correlation,method,var_std,relative_efficiency
0.1,MC,8.774077515392462e-05,1.0
0.1,QMC-Sobol,2.0851687445006655e-05,4.207850102555411
0.3,MC,9.578484098090036e-05,1.0
0.3,QMC-Sobol,2.5034902617732945e-05,3.8260520699230995
0.5,MC,0.00011934483892086997,1.0
0.5,QMC-Sobol,2.037248690731508e-05,5.858137961449234
0.7,MC,9.419832070574829e-05,1.0
0.7,QMC-Sobol,2.353771525918885e-05,4.002016324374319
0.9,MC,0.00011987370853504933,1.0
0.9,QMC-Sobol,2.481695430619619e-05,4.8303150763798515
