dimension,method,var_mean,var_std,var_rmse,time_mean
20,MC,-0.023618348657722058,0.00028867809896375153,0.00029796850787259887,0.005963773727416992
20,QMC-Sobol,-0.023645876433714276,0.00017151125647386442,0.00017765015990944762,0.009767498970031738
20,QMC-Halton,-0.023636184595699713,0.00018265338166473702,0.00019104207795770308,0.01610090732574463
30,MC,-0.03469124865655982,0.0005102523810415156,0.0005294874869415587,0.009520256519317627
30,QMC-Sobol,-0.03457668315898771,0.00028569159284947527,0.0002869509185395169,0.012081756591796874
30,QMC-Halton,-0.03458364369181518,0.0003297579627364965,0.00033148717065961696,0.019635086059570313
50,MC,-0.03565671323030535,0.000438110301300597,0.0004444468358659515,0.013281903266906737
50,QMC-Sobol,-0.035735875373736486,0.0002961903777191696,0.00029622276270060543,0.022086002826690675
50,QMC-Halton,-0.03575080090421195,0.00030222625055281423,0.00030284222616167614,0.03186965942382813
