method,var_mean,var_std,var_reduction,cvar_mean,cvar_std,cvar_reduction,time_mean
MC,-0.007344550931514925,8.675028934230681e-05,0.0,-0.009242929967815734,0.00011096346267728822,0.0,0.0007795310020446778
MC + Antithetic,-0.007338108139300005,9.039350574143231e-05,-4.199659075198903,-0.009213714931863988,0.0001160939477094443,-4.623580508727376,0.000661618709564209
MC + Control Variate,7.08798170950567e-05,1.0325769921603155e-08,99.98809713489155,7.069128831581116e-05,1.1121680556504614e-08,99.98997716880118,0.0009599804878234863
QMC-Sobol,-0.007349659277069288,2.5658076447661482e-05,70.42306528060371,-0.009232330791579611,6.669281591042483e-06,93.98965981222254,0.0018107056617736816
QMC-Sobol + Antithetic,-0.0073428265408730905,2.6077089863080215e-05,69.94005430900296,-0.009231543722706004,1.0439031528740808e-05,90.59237042818289,0.002252252101898193
QMC-Sobol + Control Variate,7.08793737891956e-05,2.3682981056728663e-09,99.99726998247081,7.069040834956864e-05,7.208487916467581e-10,99.99935037283963,0.0017773032188415528
