method,distribution,df,var_mean,var_std,var_rmse,cvar_mean,cvar_std,cvar_rmse
MC (t-dist),Student-t,7,-0.00718509454595028,0.00010661356555420289,0.00011670562419952585,-0.009720257194806133,0.0001549321728053759,0.00016503985279290388
QMC-Sobol (t-dist),Student-t,7,-0.00718564524877314,2.699266314506597e-05,5.4132889419759525e-05,-0.009708614805240864,1.723173795055661e-05,7.064597469263431e-05
QMC-Halton (t-dist),Student-t,7,-0.007177972523594938,2.9103687488732598e-05,6.18685333431004e-05,-0.00970309073575289,2.270757144429942e-05,7.744031476396395e-05
