method,var_mean,var_std,var_rmse,cvar_mean,cvar_std,cvar_rmse
MC,-0.004944025007011513,6.780230843474628e-05,7.843521212945394e-05,-0.00624066052429941,7.942402983688098e-05,8.411612883735678e-05
QMC-Sobol,-0.004956916855717926,2.4413141635966483e-05,3.606123469034899e-05,-0.006253671192774618,1.1241964942667299e-05,1.849833127378132e-05
QMC-Halton,-0.004957348065261705,2.733021489051376e-05,3.7797466913979564e-05,-0.006252644742322202,1.295504782419859e-05,2.0367896029456388e-05
