Date,Close,High,Low,Open,Volume
2018-01-02,27815.9609375,27883.54717516135,27714.581581007973,27803.288517938494,3280831
2018-01-03,27934.240234375,28022.947182042,27870.87812889857,27938.464374740095,3659050
2018-01-04,27714.587890625,28111.657127283856,27710.36374980948,28098.984704837298,5501615
2018-01-05,28090.53515625,28090.53515625,27790.621171875002,27790.621171875002,3928549
2018-01-08,28280.62109375,28327.086639983198,28052.517503150673,28208.81070411688,3906015
2018-01-09,28166.5703125,28403.12219274895,28048.294372375523,28200.36343824985,4285662
2018-01-10,27984.93359375,28259.502753537734,27951.14046639151,28246.8303307783,5506520
2018-01-11,27841.30859375,28014.498345281445,27782.170629812434,27972.256942468895,1950740
2018-01-12,27892.0,27963.810389217022,27701.913675601998,27904.672421626532,2965849
2018-01-15,27955.361328125,28094.757962127438,27875.102660062992,28035.61999618701,1795690
2018-01-16,28175.01953125,28229.933362420354,27900.45037539824,27959.58834742785,2836642
2018-01-17,28107.4296875,28191.912493894648,28027.17102142508,28115.877968139466,3286732
2018-01-18,28128.55078125,28343.98194055977,28077.861096706525,28267.947413744558,4652555
2018-01-19,28149.671875,28225.70640287365,28094.758049313477,28158.12015587485,2349827
2018-01-22,27862.431640625,28124.328360109346,27735.70742151967,28124.328360109346,3305211
2018-01-23,28238.380859375,28238.380859375,27951.139288928105,27984.932414863033,5815976
2018-01-24,28284.845703125,28403.12164095169,28213.035312301654,28229.931874848324,5094628
2018-01-25,28504.501953125,28555.19164243109,28229.93280271701,28229.93280271701,7148421
2018-01-26,28618.552734375,28618.552734375,28436.9146875,28500.276796875,3062961
2018-01-29,28812.865234375,28969.158448518363,28757.951402378683,28766.39968422427,7198032
2018-01-30,28453.81640625,28850.885696954796,28453.81640625,28791.747717488124,10143280
2018-01-31,28474.935546875,28893.125521528706,28356.65959444769,28356.65959444769,10648610
2018-02-01,28483.380859375,28643.89820664717,28428.467030045045,28593.208518034906,2602288
2018-02-02,27934.240234375,28436.912937821337,27883.550549993855,28411.568095630766,8581155
2018-02-06,27245.708984375,27292.174534580914,26747.260354893413,27072.51920633479,12570940
2018-02-07,26557.171875,27503.379366649435,26552.94773441228,27494.931085473992,6016419
2018-02-08,26781.0546875,26869.761650975946,26493.81309148265,26565.623490486985,8596071
2018-02-09,26071.3984375,26527.60566874595,25940.450065568293,26476.915976385288,9375300
2018-02-12,26362.869140625,26476.920969946725,26092.52406371425,26193.90346755578,6877480
2018-02-13,26565.62109375,26869.759226799768,26438.896871645928,26544.500390065987,7209424
2018-02-14,26912.005859375,26979.592124286315,26730.367772425834,26734.591913982793,2939679
2018-02-19,27051.3984375,27283.72618797822,26890.881082624142,27275.277906142648,6064781
2018-02-20,26738.8125,26979.588536729858,26683.89866706161,26966.916113744075,3745254
2018-02-21,26878.20703125,26924.672578530175,26569.844762936114,26759.931092718645,4689428
2018-02-22,26700.79296875,26785.275781497192,26595.189452816012,26709.24125002472,3211158
2018-02-23,27118.982421875,27118.982421875,26806.396020127533,26806.396020127533,3244557
2018-02-26,27165.4453125,27254.152255675635,27051.393528417044,27241.479835221973,2996204
2018-02-27,27080.96484375,27431.56850652199,27080.96484375,27309.06843157756,3217208
2018-02-28,26772.599609375,27118.979093118887,26738.806489009745,26988.030751703514,3827364
2018-03-06,26574.07421875,26582.52250176343,26261.48774725302,26282.608454786598,5804435
2018-03-07,26607.86328125,26865.5358737498,26438.8976468239,26679.67367588109,3123014
2018-03-08,26878.20703125,26878.20703125,26628.98273220179,26802.172499336986,4943835
2018-03-09,27186.5703125,27402.001494280223,26912.0011592507,27009.15639809276,7371696
2018-03-12,27427.345703125,27511.82851755015,27309.06976292979,27440.018125288774,3296713
2018-03-13,27554.072265625,27554.072265625,27368.210058099703,27423.12389214127,3439809
2018-03-14,27532.94921875,27537.173359470886,27359.759449193578,27359.759449193578,3015234
2018-03-15,27630.107421875,27651.228127747097,27338.641680840086,27558.29702190988,2107652
2018-03-16,27579.4140625,27638.552031082476,27380.879453687394,27604.758906178206,2434586
2018-03-19,27380.87890625,27579.41351109322,27330.18921990705,27532.94796527885,2727916
2018-03-20,27511.82421875,27511.82421875,27178.117153913325,27228.80683464801,3885088
2018-03-21,27516.048828125,27596.307490657142,27473.807426792293,27511.82468799173,1716337
2018-03-22,27621.65625,27765.27703490595,27511.828590954276,27541.39757608197,6301695
2018-03-23,26700.79296875,27118.982891848602,26641.654999826966,27055.620782288206,6937693
2018-03-26,26933.12109375,26933.12109375,26498.03460180266,26633.207104155234,6174425
2018-03-27,27047.169921875,27144.325147269836,26988.03195859119,27127.428586331604,6317146
2018-03-28,26713.46484375,26772.602811462286,26557.17164336753,26759.930389809655,6314383
2018-03-29,26933.12109375,26988.034922830735,26654.32780764782,26743.034762316696,6624647
2018-03-30,27000.705078125,27199.23967428768,27000.705078125,27131.653428785492,5669555
2018-04-02,26937.34765625,27207.692685260507,26920.451091936844,27055.623606442095,2287312
2018-04-03,26882.42578125,26882.42578125,26616.30497291896,26683.891209955415,2336529
2018-04-04,26468.4609375,26928.892192237872,26447.340237741384,26916.2197723827,3834407
2018-04-05,26835.966796875,26966.915163111913,26628.983895403744,26654.32874048186,3961416
2018-04-06,26705.01953125,26781.054069618,26565.622877575333,26641.657415943333,2377542
2018-04-09,26890.876953125,26928.89421554695,26662.77337859331,26679.66993966973,1806138
2018-04-10,26916.2265625,26996.485241829487,26569.846999077996,26789.502331979755,3369969
2018-04-11,26831.74609375,27030.28073896509,26814.849528199782,26937.34962843888,5337970
2018-04-12,26827.515625,26988.032959868524,26827.515625,26924.67085399937,6738503
2018-04-13,27004.931640625,27051.397188575393,26878.207418942104,26924.6729668925,3543876
