Date,Close,High,Low,Open,Volume
2018-01-02,10234.1845703125,10309.853217782462,10229.455279845626,10309.853217782462,110577
2018-01-03,10262.560546875,10290.93629032258,10224.726222278225,10224.726222278225,25507
2018-01-04,10238.9140625,10295.665549220554,10234.184771939954,10290.936258660508,47467
2018-01-05,10248.3720703125,10248.3720703125,10219.996328539599,10234.18419942605,17356
2018-01-08,10276.7490234375,10309.854059408077,10210.538951496346,10253.102569172803,38488
2018-01-09,10295.666015625,10309.853887947864,10267.29027097927,10272.01956175356,56882
2018-01-10,10338.228515625,10357.145676678294,10300.394193518412,10309.852774045059,57346
2018-01-11,10342.9580078125,10366.604459590762,10309.85297532293,10366.604459590762,23060
2018-01-12,10272.0185546875,10290.935715930018,10253.101393444982,10290.935715930018,102237
2018-01-15,10253.1015625,10300.39446638607,10210.537949002537,10300.39446638607,175558
2018-01-16,10248.3720703125,10281.477102380884,10243.642780017017,10281.477102380884,57871
2018-01-17,10309.8525390625,10309.8525390625,10248.371767040568,10309.8525390625,27337
2018-01-18,10328.7705078125,10338.22908886361,10290.936183608059,10338.22908886361,33417
2018-01-19,10286.2060546875,10328.769665948275,10262.559603987069,10324.04037580819,188559
2018-01-22,10324.041015625,10324.041015625,10234.18449739464,10234.18449739464,187682
2018-01-23,10328.7705078125,10338.22908886361,10281.477602556948,10324.041217286946,159783
2018-01-24,10319.3125,10361.876117094409,10300.39533684693,10347.688244729607,150558
2018-01-25,10224.7255859375,10300.394230421774,10210.5377150967,10300.394230421774,657525
2018-01-26,10272.0185546875,10295.665006240648,10253.101393444982,10267.28926437687,157164
2018-01-29,10290.9365234375,10300.395104800953,10248.372907301959,10286.207232755773,155252
2018-01-30,10366.60546875,10366.60546875,10309.853978957573,10338.229723853787,182436
2018-01-31,10314.5830078125,10371.3344961636,10300.395135724724,10366.605205467675,183118
2018-02-01,10352.41796875,10385.523005653267,10295.666476915829,10295.666476915829,145385
2018-02-02,10428.0859375,10432.815228174604,10338.22941468254,10366.605158730159,232405
2018-02-06,10536.859375,10603.069442885995,10508.483631620287,10593.610861759425,276416
2018-02-07,10494.2958984375,10494.2958984375,10418.627248426234,10456.461573431867,243148
2018-02-08,10503.7548828125,10532.130627655757,10480.108428776452,10499.02559200529,209681
2018-02-09,10546.3173828125,10593.61028587444,10513.212350669142,10574.693124649664,179810
2018-02-12,10480.1083984375,10546.318469546763,10442.274072089349,10546.318469546763,196966
2018-02-13,10480.1083984375,10480.1083984375,10432.815490502313,10480.1083984375,151844
2018-02-14,10409.16796875,10484.836613684121,10390.25080751647,10484.836613684121,160047
2018-02-19,10314.5830078125,10404.439531035076,10305.124426420649,10404.439531035076,141980
2018-02-20,10371.333984375,10371.333984375,10319.311789286936,10338.22895113714,17787
2018-02-21,10399.708984375,10404.438274499773,10357.145373252046,10357.145373252046,46837
2018-02-22,10480.1083984375,10480.1083984375,10394.981164154162,10394.981164154162,43864
2018-02-23,10423.3564453125,10461.19076997788,10399.709992396636,10461.19076997788,38022
2018-02-26,10376.0625,10394.979660437557,10361.874629671833,10376.0625,118710
2018-02-27,10361.875,10376.062870835234,10328.769968051118,10376.062870835234,82550
2018-02-28,10470.6494140625,10475.37870467409,10423.35650794659,10423.35650794659,53909
2018-03-06,10404.439453125,10418.627325106534,10380.792999822444,10418.627325106534,33591
2018-03-07,10342.9580078125,10347.687298168152,10309.85297532293,10314.582265678584,167366
2018-03-08,10347.6875,10347.6875,10309.853176416818,10328.77033820841,15874
2018-03-09,10342.9580078125,10366.604459590762,10314.582265678584,10352.416588523805,28613
2018-03-12,10300.39453125,10328.77027376033,10272.01878873967,10328.77027376033,77049
2018-03-13,10324.041015625,10324.041015625,10281.477401726408,10300.394563459116,19189
2018-03-14,10295.666015625,10333.500341819303,10276.748852527848,10314.583178722152,19402
2018-03-15,10305.1240234375,10319.311894970457,10272.0189898606,10305.1240234375,17025
2018-03-16,10314.5830078125,10361.87591477175,10314.5830078125,10319.312298508425,8422
2018-03-19,10366.60546875,10366.60546875,10309.853978957573,10309.853978957573,139386
2018-03-20,10338.228515625,10376.062837731588,10328.769935098353,10366.604257204941,20295
2018-03-21,10366.60546875,10366.60546875,10342.959014669823,10342.959014669823,35954
2018-03-22,10366.60546875,10399.71050446225,10290.93681569343,10399.71050446225,23190
2018-03-23,10447.0029296875,10451.732220284914,10404.439314310774,10404.439314310774,99661
2018-03-26,10442.2744140625,10451.732995959295,10418.62795932051,10447.003705010897,29222
2018-03-27,10352.41796875,10399.71087861181,10333.500804805277,10390.252296639448,50249
2018-03-28,10352.41796875,10385.523005653267,10290.937185929648,10371.335132694723,49975
2018-03-29,10314.5830078125,10352.417333379899,10290.936554332875,10314.5830078125,29030
2018-03-30,10300.39453125,10309.853112086777,10272.01878873967,10272.01878873967,17744
2018-04-02,10229.4560546875,10300.395417063974,10219.997473037303,10300.395417063974,100481
2018-04-03,10205.8095703125,10248.373187612227,10205.8095703125,10224.726733556823,59194
2018-04-04,10253.1015625,10262.560143277213,10201.079368225322,10205.808658613929,26418
2018-04-05,10267.2900390625,10286.207201732353,10210.538551052943,10210.538551052943,12059
2018-04-06,10352.41796875,10352.41796875,10276.749312971106,10276.749312971106,35645
2018-04-09,10333.5,10366.605034324943,10309.853546910756,10366.605034324943,22454
2018-04-10,10333.5,10376.06361556064,10300.394965675057,10347.687871853546,16784
2018-04-11,10328.7705078125,10342.958379389167,10300.39476465917,10309.85334571028,12965
2018-04-12,10357.146484375,10366.605065639269,10309.853578053653,10324.041449950057,12614
2018-04-13,10361.875,10376.062870835234,10342.957838886354,10366.604290278412,13887
2018-04-16,10399.708984375,10404.438274499773,10357.145373252046,10361.874663376819,42174
2018-04-17,10338.228515625,10366.604257204941,10328.769935098353,10366.604257204941,17399
2018-04-18,10357.146484375,10357.146484375,10305.124287421519,10328.770740582193,16676
2018-04-19,10290.9365234375,10338.229430254767,10257.831488665412,10328.770848891314,18377
2018-04-20,10342.9580078125,10352.416588523805,10309.85297532293,10309.85297532293,10373
2018-04-23,10357.146484375,10371.334356271405,10328.770740582193,10361.875775007135,24538
