Date,Close,High,Low,Open,Volume
2018-01-02,91093.6015625,91156.75867012364,90996.76066414376,90996.76066414376,6638
2018-01-03,91114.6328125,91198.84226981284,91085.15950244051,91085.15950244051,30873
2018-01-04,91144.125,91169.38784242621,91097.8097888853,91135.7040525246,19
2018-01-05,91165.171875,91173.59282196795,91118.85666667629,91131.48808712821,15118
2018-01-08,91106.21875,91156.74442820501,91106.21875,91144.11300865376,185
2018-01-09,91114.6328125,91274.63078139441,91072.52808384357,91274.63078139441,36740
2018-01-10,90929.3828125,91106.2226938727,90929.3828125,91106.2226938727,8369
2018-01-11,91022.015625,91072.54130672356,90958.85852284555,90963.06899632252,344
2018-01-12,91034.6484375,91064.12175228944,90988.33322854516,91051.4903316654,121
2018-01-15,90824.1171875,91038.85132020421,90824.1171875,90992.53611511114,19868
2018-01-16,90942.0234375,90942.0234375,90782.0254333968,90794.65685477336,10195
2018-01-17,90946.2265625,91110.43502712673,90899.91135452835,91110.43502712673,974
2018-01-18,91064.15625,91064.15625,90874.68486886212,90874.68486886212,285
2018-01-19,91072.53125,91080.95219602404,90912.53327554323,90975.69037072353,39644
2018-01-22,90988.3203125,91186.21254085204,90760.95477354234,90760.95477354234,11346
2018-01-23,91043.0859375,91047.29641180688,90963.08692566943,91005.19166873816,581
2018-01-24,90967.28125,91085.17450966212,90967.28125,91043.0697740685,16627
2018-01-25,91022.015625,91043.06799238482,90950.43757589161,90967.27946979947,7831
2018-01-26,90929.3828125,91034.64464665041,90925.17233913398,90996.75038635626,19906
2018-01-29,90845.171875,90946.22323414906,90782.01477553185,90899.90802787241,24206
2018-01-30,90769.390625,90803.07441408062,90685.18115229845,90803.07441408062,169
2018-01-31,90828.3515625,90828.3515625,90735.72112793784,90735.72112793784,557
2018-02-01,90853.609375,90866.24079719506,90786.24178995969,90786.24178995969,9452
2018-02-02,90803.078125,90853.6038106858,90773.60480834995,90853.6038106858,55
2018-02-06,90887.296875,91017.82157634,90862.03402957936,90937.82256584128,4531
2018-02-07,90920.96875,91017.80964475086,90887.28496052144,90925.17922368483,825
2018-02-08,90908.34375,91043.07891743087,90908.34375,91043.07891743087,120
2018-02-09,90937.8125,91005.18008033151,90920.97060491712,90946.23344754144,1876
2018-02-12,90920.96875,90954.65253947857,90891.49543420627,90954.65253947857,263
