Date,Close,High,Low,Open,Volume
2018-01-02,9805.0,9805.0,9745.0,9760.0,116605
2018-01-03,9835.0,9875.0,9800.0,9850.0,68248
2018-01-04,9805.0,9820.0,9755.0,9820.0,78866
2018-01-05,9870.0,9890.0,9850.0,9865.0,135251
2018-01-08,9870.0,9880.0,9835.0,9875.0,36735
2018-01-09,9835.0,9870.0,9830.0,9855.0,49492
2018-01-10,9800.0,9815.0,9775.0,9805.0,52542
2018-01-11,9835.0,9860.0,9825.0,9835.0,45487
2018-01-12,9945.0,9945.0,9870.0,9870.0,67652
2018-01-15,10055.0,10055.0,9970.0,9975.0,70534
2018-01-16,10025.0,10095.0,9995.0,10040.0,199471
2018-01-17,9980.0,10045.0,9970.0,10040.0,83960
2018-01-18,9935.0,9945.0,9890.0,9945.0,28449
2018-01-19,9930.0,9940.0,9895.0,9925.0,33321
2018-01-22,9960.0,9960.0,9925.0,9950.0,41593
2018-01-23,9995.0,9995.0,9945.0,9960.0,24582
2018-01-24,10005.0,10025.0,9995.0,10005.0,35906
2018-01-25,10215.0,10215.0,10115.0,10115.0,131395
2018-01-26,10115.0,10115.0,10050.0,10065.0,41704
2018-01-29,10070.0,10100.0,10050.0,10095.0,32121
2018-01-30,9970.0,10020.0,9945.0,10020.0,37192
2018-01-31,10035.0,10035.0,9960.0,9980.0,69872
2018-02-01,10010.0,10050.0,10000.0,10045.0,102745
2018-02-02,10055.0,10070.0,10035.0,10045.0,39485
2018-02-06,10025.0,10045.0,9965.0,9980.0,150950
2018-02-07,9935.0,9935.0,9880.0,9900.0,49745
2018-02-08,9790.0,9845.0,9750.0,9845.0,41595
2018-02-09,9835.0,9870.0,9800.0,9870.0,40382
2018-02-12,9885.0,9885.0,9820.0,9830.0,40777
2018-02-13,9910.0,9915.0,9845.0,9885.0,120526
2018-02-14,9955.0,9970.0,9915.0,9935.0,68478
2018-02-19,10070.0,10475.0,10025.0,10045.0,339072
2018-02-20,10000.0,10045.0,9975.0,10045.0,78022
2018-02-21,9900.0,9920.0,9880.0,9900.0,120331
2018-02-22,9850.0,9900.0,9850.0,9900.0,150773
2018-02-23,9880.0,9935.0,9880.0,9905.0,35505
2018-02-26,9990.0,9990.0,9875.0,9900.0,51819
2018-02-27,9955.0,9995.0,9920.0,9995.0,29875
2018-02-28,9825.0,9835.0,9795.0,9825.0,57760
2018-03-06,9865.0,9865.0,9820.0,9850.0,156478
2018-03-07,9925.0,9975.0,9915.0,9960.0,29965
2018-03-08,9865.0,9890.0,9845.0,9875.0,17118
2018-03-09,9795.0,9850.0,9785.0,9820.0,73646
2018-03-12,9860.0,9860.0,9820.0,9835.0,60562
2018-03-13,9810.0,9880.0,9810.0,9880.0,21379
2018-03-14,9855.0,9895.0,9840.0,9855.0,118484
2018-03-15,9880.0,9895.0,9850.0,9855.0,35888
2018-03-16,9790.0,9810.0,9780.0,9805.0,12143
2018-03-19,9745.0,9790.0,9730.0,9790.0,13070
2018-03-20,9800.0,9805.0,9775.0,9805.0,16822
2018-03-21,9785.0,9785.0,9740.0,9770.0,17229
2018-03-22,9880.0,9925.0,9870.0,9895.0,35030
2018-03-23,9990.0,9990.0,9905.0,9935.0,57356
2018-03-26,10020.0,10050.0,9990.0,10050.0,75401
2018-03-27,10055.0,10080.0,10045.0,10050.0,102072
2018-03-28,9985.0,10020.0,9980.0,10020.0,28741
2018-03-29,9870.0,9885.0,9860.0,9875.0,22183
2018-03-30,9945.0,9945.0,9855.0,9855.0,12729
2018-04-02,9900.0,9905.0,9855.0,9885.0,83507
2018-04-03,9960.0,9990.0,9935.0,9965.0,26977
2018-04-04,9930.0,9945.0,9900.0,9945.0,42346
2018-04-05,9875.0,9925.0,9875.0,9925.0,96245
2018-04-06,9870.0,9910.0,9870.0,9910.0,10176
2018-04-09,9905.0,9915.0,9880.0,9890.0,10051
2018-04-10,9910.0,9940.0,9890.0,9940.0,53183
2018-04-11,10010.0,10010.0,9945.0,9950.0,33311
2018-04-12,10025.0,10065.0,10015.0,10045.0,101375
2018-04-13,9945.0,9965.0,9925.0,9925.0,27727
2018-04-16,9990.0,10010.0,9965.0,10000.0,25596
2018-04-17,9980.0,10010.0,9965.0,10000.0,28524
2018-04-18,9975.0,10005.0,9965.0,9990.0,32374
2018-04-19,10030.0,10045.0,10005.0,10015.0,50066
2018-04-20,9990.0,9995.0,9955.0,9995.0,41016
2018-04-23,9920.0,9925.0,9885.0,9900.0,28381
2018-04-24,9835.0,9855.0,9820.0,9850.0,36176
2018-04-25,9850.0,9880.0,9830.0,9865.0,21010
2018-04-26,9800.0,9825.0,9800.0,9820.0,27062
2018-04-27,9785.0,9805.0,9765.0,9805.0,24066
2018-04-30,9765.0,9830.0,9765.0,9805.0,25055
2018-05-02,9695.0,9725.0,9680.0,9695.0,63976
2018-05-03,9715.0,9725.0,9690.0,9705.0,14429
2018-05-04,9745.0,9755.0,9725.0,9745.0,80585
2018-05-08,9745.0,9760.0,9725.0,9745.0,24819
2018-05-09,9720.0,9755.0,9715.0,9750.0,19059
2018-05-10,9750.0,9750.0,9715.0,9730.0,26977
2018-05-11,9800.0,9800.0,9765.0,9795.0,28695
2018-05-14,9800.0,9805.0,9775.0,9790.0,13212
2018-05-15,9735.0,9760.0,9725.0,9760.0,10683
2018-05-16,9600.0,9610.0,9570.0,9600.0,50189
2018-05-17,9530.0,9600.0,9530.0,9590.0,26055
2018-05-18,9565.0,9565.0,9540.0,9555.0,14098
2018-05-21,9525.0,9585.0,9505.0,9585.0,30787
2018-05-23,9560.0,9590.0,9535.0,9565.0,41669
2018-05-24,9575.0,9610.0,9570.0,9595.0,117141
2018-05-25,9660.0,9660.0,9620.0,9660.0,48295
2018-05-28,9610.0,9630.0,9590.0,9605.0,40933
2018-05-29,9590.0,9640.0,9585.0,9610.0,22056
2018-05-30,9610.0,9630.0,9595.0,9620.0,26303
2018-05-31,9645.0,9650.0,9620.0,9620.0,15828
2018-06-01,9600.0,9645.0,9600.0,9645.0,33666
2018-06-04,9540.0,9580.0,9535.0,9580.0,98478
2018-06-05,9565.0,9570.0,9535.0,9570.0,36268
2018-06-07,9585.0,9615.0,9585.0,9585.0,27687
2018-06-08,9570.0,9600.0,9570.0,9585.0,15836
2018-06-11,9620.0,9625.0,9595.0,9600.0,11577
2018-06-12,9610.0,9620.0,9595.0,9620.0,7422
2018-06-14,9645.0,9645.0,9585.0,9610.0,9308
2018-06-15,9590.0,9650.0,9590.0,9650.0,15273
2018-06-18,9480.0,9485.0,9460.0,9485.0,80011
2018-06-19,9465.0,9500.0,9455.0,9485.0,75153
2018-06-20,9430.0,9440.0,9410.0,9415.0,13897
2018-06-21,9345.0,9400.0,9340.0,9400.0,21563
2018-06-22,9390.0,9390.0,9345.0,9350.0,11355
2018-06-25,9360.0,9415.0,9350.0,9410.0,25159
2018-06-26,9350.0,9365.0,9335.0,9365.0,23340
2018-06-27,9290.0,9315.0,9265.0,9315.0,52599
2018-06-28,9260.0,9270.0,9240.0,9265.0,13546
2018-06-29,9250.0,9250.0,9205.0,9235.0,10038
2018-07-02,9225.0,9270.0,9215.0,9265.0,96016
2018-07-03,9170.0,9195.0,9150.0,9195.0,35608
2018-07-04,9290.0,9310.0,9250.0,9250.0,16968
2018-07-05,9290.0,9305.0,9265.0,9275.0,83167
2018-07-06,9290.0,9300.0,9240.0,9300.0,18865
2018-07-09,9330.0,9330.0,9260.0,9260.0,17310
2018-07-10,9285.0,9310.0,9265.0,9300.0,13267
2018-07-11,9230.0,9280.0,9210.0,9280.0,22632
2018-07-12,9190.0,9195.0,9170.0,9180.0,17495
2018-07-13,9205.0,9220.0,9180.0,9195.0,15357
2018-07-16,9185.0,9190.0,9155.0,9165.0,20176
2018-07-17,9175.0,9175.0,9135.0,9170.0,19177
2018-07-18,9025.0,9060.0,9025.0,9055.0,32105
2018-07-19,9035.0,9060.0,9010.0,9035.0,16841
2018-07-20,9020.0,9030.0,8965.0,9025.0,31923
2018-07-23,9080.0,9110.0,9065.0,9100.0,31859
2018-07-24,9000.0,9035.0,8980.0,9035.0,58904
2018-07-25,9055.0,9055.0,9005.0,9045.0,18440
2018-07-26,9075.0,9100.0,9055.0,9095.0,21384
2018-07-27,9020.0,9035.0,9010.0,9025.0,22782
2018-07-30,9000.0,9025.0,8990.0,9020.0,26688
2018-07-31,9010.0,9020.0,8990.0,9000.0,13652
2018-08-01,9005.0,9025.0,8995.0,9020.0,63541
2018-08-02,8990.0,8995.0,8950.0,8980.0,116579
2018-08-03,8895.0,8925.0,8875.0,8915.0,82235
2018-08-06,8945.0,8965.0,8920.0,8950.0,42415
2018-08-07,8910.0,8925.0,8875.0,8915.0,125077
2018-08-08,8940.0,8945.0,8920.0,8935.0,16702
2018-08-09,8960.0,8965.0,8920.0,8920.0,53674
2018-08-10,8900.0,8940.0,8885.0,8935.0,73152
2018-08-13,8910.0,8935.0,8880.0,8905.0,51855
2018-08-14,8790.0,8810.0,8770.0,8785.0,51728
2018-08-16,8660.0,8675.0,8525.0,8625.0,120052
2018-08-17,8660.0,8680.0,8625.0,8635.0,136563
2018-08-20,8730.0,8735.0,8695.0,8695.0,41595
2018-08-21,8815.0,8815.0,8755.0,8785.0,67268
2018-08-22,8790.0,8825.0,8785.0,8810.0,60506
2018-08-23,8785.0,8800.0,8765.0,8800.0,23844
2018-08-24,8755.0,8760.0,8710.0,8725.0,41502
2018-08-27,8885.0,8895.0,8855.0,8865.0,84856
2018-08-28,8905.0,8920.0,8890.0,8900.0,101476
2018-08-29,8865.0,8870.0,8845.0,8860.0,36352
2018-08-30,8840.0,8880.0,8820.0,8865.0,32110
2018-08-31,8865.0,8865.0,8805.0,8840.0,30344
2018-09-03,8840.0,8840.0,8790.0,8835.0,137760
2018-09-04,8805.0,8840.0,8805.0,8835.0,17568
2018-09-05,8775.0,8795.0,8745.0,8785.0,30998
