Date,Close,High,Low,Open,Volume
2018-01-02,100947.546875,101078.10500598163,100847.45230791408,101078.10500598163,272
2018-01-03,100760.421875,100860.516450352,100664.67923770678,100786.53350335271,329
2018-01-04,100760.421875,100825.70094588175,100660.327299648,100825.70094588175,17
2018-01-05,100647.2578125,100677.72137477298,100516.69968847289,100625.49812516214,107
2018-01-08,100521.046875,100647.25305559464,100212.05932940623,100212.05932940623,328
2018-01-09,100351.328125,100447.07075125222,100351.328125,100447.07075125222,802
2018-01-10,99676.7734375,99981.40905314028,99676.7734375,99981.40905314028,225
2018-01-11,99998.828125,99998.828125,99833.45448635651,99885.67774066498,98
2018-01-12,99903.078125,100068.45175144842,99903.078125,99998.82075083857,22
2018-01-15,99615.8515625,99894.3755686162,99441.77405867737,99441.77405867737,284
2018-01-16,99646.3125,99646.3125,99480.93887572609,99480.93887572609,91
2018-01-17,99759.4609375,99802.98031146392,99646.3105651938,99646.3105651938,36
2018-01-18,99894.375,99894.375,99594.09130761522,99733.35330988062,25
2018-01-19,99789.9296875,99842.15293897186,99676.77930931095,99829.09712610391,96
2018-01-22,99685.4765625,99685.4765625,99302.50607714681,99332.96963848174,50
2018-01-23,99672.421875,99672.421875,99406.9536946579,99672.421875,24
2018-01-24,99863.90625,99990.11243299778,99829.090751242,99990.11243299778,69
2018-01-25,99711.5859375,99855.19986626823,99646.306878969,99855.19986626823,41
2018-01-26,99776.875,100216.4207048458,99493.99905133684,100216.4207048458,1980
2018-01-29,99137.1328125,99554.9187980136,99137.1328125,99380.84130404961,161
2018-01-30,98832.5,99067.50462351387,98788.98062527522,99067.50462351387,147
2018-01-31,98815.0859375,98854.25337225018,98614.89682655466,98614.89682655466,211
2018-02-01,98910.828125,98910.828125,98593.13671118775,98593.13671118775,316
2018-02-02,98906.4765625,98906.4765625,98484.33865487637,98619.24870782824,1220
2018-02-06,98906.4765625,98949.99593441996,98606.19289625225,98606.19289625225,200
2018-02-07,99337.3203125,99337.3203125,98719.3452189937,98897.77464740044,121
2018-02-08,99206.765625,99337.32374786148,98989.16875356423,99337.32374786148,528
2018-02-09,98941.3046875,99237.23645432429,98941.3046875,99206.77289009237,1224
2018-02-12,98701.9453125,98915.19025607638,98701.9453125,98797.68794022818,125
2018-02-13,98893.4296875,98893.4296875,98684.53668340741,98684.53668340741,12
2018-02-14,99132.78125,99180.65256102111,98971.75956747442,98971.75956747442,35
2018-02-19,98775.9296875,98950.00719498999,98710.65062219126,98950.00719498999,319
2018-02-20,98884.71875,98958.70168366561,98732.40094539433,98871.66293817665,95
2018-02-21,98971.765625,98971.765625,98715.00130471704,98719.35324234895,75
2018-02-22,98876.0234375,98876.0234375,98606.2033031195,98715.00174440196,49
2018-02-23,98884.71875,98884.71875,98710.6412590221,98710.6412590221,208
2018-02-26,99084.9140625,99141.48925060667,98958.70787364668,98958.70787364668,25
2018-02-27,99280.7578125,99402.6120718587,99198.07099364945,99198.07099364945,53
2018-02-28,99385.1875,99385.1875,99180.64645640846,99254.62938706923,110
2018-03-06,99402.609375,99402.609375,99263.34736808261,99311.21868296046,16
2018-03-07,99472.2265625,99472.2265625,99437.41106560627,99437.41106560627,260
2018-03-08,99524.46875,99537.52456382003,99398.26254973983,99398.26254973983,25
2018-03-09,99528.8125,99598.44350131176,99402.60631012244,99498.34893692611,249
2018-03-12,99380.8359375,99389.53981172819,99258.9816983053,99389.53981172819,55
2018-03-13,99267.6953125,99502.69993971943,99267.6953125,99406.95731381522,85
2018-03-14,99581.0390625,99581.0390625,99206.77241800324,99206.77241800324,14
2018-03-15,99694.1875,99829.09756689802,99694.1875,99694.1875,53
2018-03-16,99689.828125,99789.9226832955,99655.01262646244,99715.93974890317,13
2018-03-19,99602.796875,99611.50075028947,99520.11005975008,99520.11005975008,41
2018-03-20,99581.0390625,99589.74293795342,99581.0390625,99589.74293795342,18
2018-03-21,99659.3671875,99724.64624897653,89823.98859170305,89823.98859170305,2057
2018-03-22,99768.171875,99794.28350122683,99663.7253700927,99663.7253700927,324
2018-03-23,100229.4609375,100490.57715721474,100138.07026059985,100490.57715721474,184
2018-03-26,100068.453125,100259.93837930547,99994.47018583652,100259.93837930547,115
2018-03-27,100051.0390625,100085.85456108635,99916.12900547792,99981.40806532731,1175
2018-03-28,100447.0703125,100447.0703125,100251.23312329406,100447.0703125,41
2018-03-29,100373.09375,100442.72475502949,100303.46274497051,100442.72475502949,479
2018-03-30,100529.75,100629.84455627705,100429.65544372295,100429.65544372295,127
2018-04-02,100399.1953125,100834.38905030883,100342.62012658485,100834.38905030883,815
2018-04-03,100368.734375,100473.18087480488,100303.45531262194,100403.54987493496,306
2018-04-04,100447.0703125,100521.05325064447,100381.79124943135,100412.25481219673,794
2018-04-05,100555.8671875,100608.09043714295,100438.36487580337,100438.36487580337,65
2018-04-06,100682.078125,100686.4300626756,100551.519994732,100655.9664989464,28
2018-04-09,100638.5625,100860.51132972972,100629.85862432432,100860.51132972972,5096
2018-04-10,100616.796875,100895.32088019031,100460.12712208045,100460.12712208045,143
2018-04-11,100795.21875,100925.77686763309,100616.78932256812,100712.53194216572,102
2018-04-12,100921.4296875,101008.46843669146,100816.98318847024,100856.1506256064,215
2018-04-13,100834.390625,100921.42937392103,100777.81543820135,100899.66968669077,603
2018-04-16,100642.8984375,100825.67979763036,100603.73100318635,100825.67979763036,39
2018-04-17,100581.9765625,100581.9765625,100555.86493826259,100568.9207503813,61
2018-04-18,100455.7734375,100747.35325036281,100455.7734375,100747.35325036281,176
2018-04-19,100368.734375,100447.06924985365,100351.32662503251,100351.32662503251,107
2018-04-20,100351.328125,100364.38393767075,100216.4180607355,100364.38393767075,13
2018-04-23,99994.4609375,100333.91203873711,99994.4609375,100333.91203873711,63
2018-04-24,99981.40625,100029.27755968703,99820.38457196178,99977.05431275573,161
2018-04-25,99689.828125,99855.20174305343,99689.828125,99763.81105939233,14
2018-04-26,99685.4765625,99685.4765625,99524.45488115832,99611.4936278295,186
2018-04-27,100094.5625,100094.5625,99698.5361875,99698.5361875,51
2018-04-30,100107.6171875,100316.51018515248,100059.74587553798,100316.51018515248,1248
2018-05-02,99785.578125,100085.8618220921,99650.6680581905,100085.8618220921,2896
2018-05-03,99781.21875,99881.31330823665,99781.21875,99781.21875,8662
2018-05-04,99668.0703125,99807.33230926885,99646.31062550488,99694.18193689417,150
2018-05-08,99489.640625,99659.36618312847,99489.640625,99659.36618312847,323
2018-05-09,99507.046875,99507.046875,99420.00812855345,99420.00812855345,771
2018-05-10,99637.6015625,99637.6015625,99450.46826408604,99498.33957298263,209
2018-05-11,99572.3359375,99620.20725285457,99541.87237318345,99620.20725285457,17
2018-05-14,99467.8828125,99489.64249984961,99459.17893756017,99489.64249984961,290
2018-05-15,99346.03125,99420.0141889894,99346.03125,99420.0141889894,385
2018-05-16,99424.359375,99424.359375,98593.13935221155,99215.46638497987,438
2018-05-17,99550.5703125,99559.27418749999,99376.4928125,99559.27418749999,134
2018-05-18,99511.3984375,99511.3984375,99406.95194215758,99511.3984375,30
2018-05-21,99685.4765625,99816.03468250677,99650.66106383153,99816.03468250677,21
2018-05-23,99833.453125,99863.91668959786,99833.453125,99863.91668959786,236
2018-05-24,100133.734375,100333.92350887152,100111.9746865357,100111.9746865357,345
2018-05-25,100220.765625,100220.765625,100146.78268976073,100146.78268976073,15
2018-05-28,100133.734375,100368.7390104144,100125.03049961428,100368.7390104144,88
2018-05-29,100333.9140625,100364.3776234819,100190.3001321568,100190.3001321568,401
2018-05-30,100490.5859375,100821.33317803744,100490.5859375,100655.95955776871,440
2018-05-31,100460.1328125,100564.57932036258,100434.02118553435,100434.02118553435,466
2018-06-01,100425.3125,100512.35125238344,100425.3125,100447.07218809586,257
2018-06-04,100268.6328125,100381.7831793891,100138.07469685872,100381.7831793891,167
2018-06-05,100164.1953125,100281.69762712624,99990.11780935002,100281.69762712624,217
2018-06-07,100055.390625,100098.9099980699,100051.03868769301,100098.9099980699,33
2018-06-08,100020.5859375,100068.45725305118,100016.23399972262,100068.45725305118,592
2018-06-11,100155.484375,100190.29987317503,100098.9091904656,100142.42856318437,207
2018-06-12,100212.0546875,100368.72442167075,100046.68107920865,100046.68107920865,207
2018-06-14,100333.9140625,100333.9140625,100172.8923830243,100203.35594400618,36
2018-06-15,100586.328125,100603.73587442673,100381.78706923593,100381.78706923593,23
2018-06-18,100825.6953125,100856.15887720941,100599.39454608728,100599.39454608728,4270
2018-06-19,101012.828125,101012.828125,100830.04673767288,100877.91805340142,452
2018-06-20,101152.078125,101160.78199955363,101012.81613214193,101051.98356763326,157
2018-06-21,101226.0703125,101226.0703125,101038.93699248979,101038.93699248979,74
2018-06-22,101260.8828125,101330.51381323062,101260.8828125,101273.93862513699,205
2018-06-25,101239.1171875,101352.26755705143,101239.1171875,101269.58074853307,437
2018-06-26,101247.828125,101313.10718891039,101243.47618740598,101278.29168815818,438
2018-06-27,101508.9453125,101508.9453125,101313.10811897107,101313.10811897107,129
2018-06-28,101752.6484375,101752.6484375,101521.9957551003,101521.9957551003,222
2018-06-29,101678.6640625,101748.29505997474,101565.51369160354,101669.96018781565,2753
2018-07-02,101926.7265625,101926.7265625,101678.66612895478,101704.7777535385,1393
2018-07-03,101687.3671875,101852.74080528332,101687.3671875,101852.74080528332,1768
2018-07-04,101770.0625,101770.0625,101639.50436978834,101661.26405815694,426
2018-07-05,101944.140625,102022.47550360192,101748.30342849519,101748.30342849519,2024
2018-07-06,101809.2265625,102013.76762638123,101743.94749955917,102013.76762638123,246
2018-07-09,101704.7734375,101809.21993140243,101704.7734375,101809.21993140243,388
2018-07-10,101765.703125,101765.703125,101678.66437788658,101678.66437788658,143
2018-07-11,101983.3046875,102096.45506395622,101970.24887483197,102018.12018794806,322
2018-07-12,102022.4765625,102361.92770663151,101957.19749632086,102361.92770663151,2079
2018-07-13,101878.8515625,101983.2980570536,101865.7957506808,101878.8515625,139
2018-07-16,101974.59375,102052.92862058297,101756.99688726955,102052.92862058297,602
2018-07-17,101935.4375,101944.1413754643,101852.75068308928,101935.4375,190
2018-07-18,102031.171875,102031.171875,101817.92694337812,101935.42925263915,29
2018-07-19,102009.40625,102026.81399850683,102009.40625,102026.81399850683,104
2018-07-20,102113.8671875,102113.8671875,102013.77261942497,102013.77261942497,140
2018-07-23,102096.453125,102096.453125,102005.06243805947,102005.06243805947,151
2018-07-24,101756.9921875,101857.08673973301,101713.4728169639,101857.08673973301,124
2018-07-25,101878.8515625,101878.8515625,101748.29344430799,101756.99731885412,248
2018-07-26,101878.8515625,101878.8515625,101791.81281703866,101878.8515625,957
2018-07-27,101804.875,102013.76800218015,101761.35562454582,102009.41606463473,330
2018-07-30,101804.875,101848.3943754542,101696.07656136452,101696.07656136452,45
2018-07-31,101965.890625,101978.9464368598,101665.60695222471,101778.75732167627,742
2018-08-01,101669.953125,101931.06934739107,101526.33920268492,101526.33920268492,477
2018-08-02,101743.9453125,101765.70499967919,101626.44300173232,101639.49881403983,250
2018-08-03,101835.3359375,101835.3359375,101661.25844017095,101778.76075086807,324
2018-08-06,101809.2265625,101870.15368791143,101783.11493732367,101783.11493732367,107
2018-08-07,102005.0625,102005.0625,101874.50437571996,102005.0625,49
2018-08-08,101965.890625,101965.890625,101857.09219283504,101870.14800469483,242
2018-08-09,102235.71875,102235.71875,102005.06605573175,102005.06605573175,148
2018-08-10,102444.6171875,102444.6171875,102292.29936245485,102292.29936245485,45
2018-08-13,102501.1953125,102566.4743822443,102414.15655284094,102414.15655284094,91
2018-08-14,102366.2734375,102531.64706179322,102366.2734375,102475.07187453502,135
2018-08-16,102653.5,102653.5,102549.05350178057,102549.05350178057,237
2018-08-17,103006.015625,103062.59081631036,102705.73191727577,103062.59081631036,263
2018-08-20,103136.5703125,103136.5703125,102966.84474424027,102966.84474424027,502
2018-08-21,103528.234375,103563.04987270903,103223.59877004604,103262.76620496869,1860
2018-08-22,103528.234375,103576.10568434991,103406.3801330184,103528.234375,213
2018-08-23,103362.8671875,103502.12918699476,103362.8671875,103502.12918699476,856
2018-08-24,103436.8515625,103550.00193866227,103393.33218705296,103419.44381232119,129
2018-08-27,103658.796875,103658.796875,103506.4790660817,103506.4790660817,395
2018-08-28,103754.5390625,103754.5390625,103558.70188042657,103610.92512897949,501
2018-08-29,103771.953125,103771.953125,103697.97018504929,103697.97018504929,127
2018-08-30,103715.3671875,103758.88655943164,103628.32844363671,103693.60750153418,599
2018-08-31,104006.953125,104006.953125,103637.0384417235,104006.953125,364
2018-09-03,104185.390625,104311.59682082811,104002.6092379386,104046.12861581035,1744
2018-09-04,104259.3671875,104324.64625031306,104211.49587477042,104211.49587477042,758
2018-09-05,104355.109375,104355.109375,104185.38381239834,104215.84737491659,304
2018-09-06,104794.65625,104794.65625,104446.50124584718,104494.37255891818,70
2018-09-07,104559.65625,105142.81590776659,104494.3771838321,105142.81590776659,408
2018-09-10,104620.578125,104620.578125,104416.03706127808,104416.03706127808,63
2018-09-11,104577.0546875,104620.57406106949,104577.0546875,104620.57406106949,668
2018-09-12,104537.890625,104690.20843740893,104520.4828750104,104590.11387496878,2223
2018-09-13,104633.6328125,104694.55993720885,104359.46075131015,104546.59406291592,13974
2018-09-14,104276.7734375,104633.63230907777,104276.7734375,104633.63230907777,763
2018-09-17,104067.8828125,104150.5696260925,104037.4192495975,104150.5696260925,505
2018-09-18,103824.15625,104215.83056204677,103824.15625,104133.1437628369,396
2018-09-19,103785.0,103889.44649446495,103715.36900369004,103780.64806273063,3437
2018-09-20,103445.5546875,103750.19031342027,103254.06943692153,103254.06943692153,98
2018-09-21,103423.7890625,103423.7890625,103201.84026207133,103249.71157196771,447
2018-09-27,103798.0625,103798.0625,103306.29355687393,103541.29818456249,342
2018-09-28,103941.6875,104054.83788833529,103697.97897127784,103789.36966954866,851
2018-10-01,103802.40625,103941.66824060875,103619.624887326,103941.66824060875,749
2018-10-02,103667.5078125,103741.49075330065,103615.28456017011,103702.32331405324,296
2018-10-04,103315.0,103667.50695029486,103188.79380791912,103667.50695029486,559
2018-10-05,103180.0859375,103241.01306235239,103084.34331273199,103140.91850009491,307
2018-10-08,103101.7421875,103149.61349576316,103075.630564811,103132.20574730383,579
2018-10-10,103402.03125,103454.25449810606,103053.87626262626,103053.87626262626,394
2018-10-11,103776.296875,103802.40849880483,103567.40388456135,103567.40388456135,3164
2018-10-12,103615.28125,103863.34169064219,103610.92931244487,103863.34169064219,211
2018-10-15,103689.2734375,103724.08894104655,103623.99436835022,103623.99436835022,1715
2018-10-16,103872.046875,103872.046875,103689.26549538085,103689.26549538085,4062
2018-10-17,104163.625,104281.12731355755,103872.04518487571,104281.12731355755,113
2018-10-18,104498.7109375,104498.7109375,104050.46142781473,104050.46142781473,456
2018-10-19,104285.4765625,104677.15093092737,104285.4765625,104520.48118355642,442
2018-10-22,104093.9921875,104389.92393501243,104093.9921875,104250.66193618305,1453
2018-10-23,104389.921875,104533.53580845875,104176.67694350064,104333.34668909201,231
2018-10-24,104533.546875,104533.546875,104333.35773444005,104333.35773444005,666
2018-10-25,104938.265625,104938.265625,104725.02069423132,104746.78038104446,3865
2018-10-26,105129.7578125,105129.7578125,104807.71442639556,104894.75317939675,762
2018-10-29,105508.375,105508.375,105012.25411442007,105416.98431055107,856
2018-10-30,105377.8125,105682.44811885686,105377.8125,105647.63261955892,2202
2018-10-31,105016.6015625,105351.70074282044,104986.13800065269,105351.70074282044,3656
2018-11-01,105042.71875,105068.83037582343,104825.12186813813,105016.60712417657,3376
2018-11-02,104751.125,104933.90635646031,104629.27076235978,104903.44279705026,8705
2018-11-05,104777.2421875,104907.80030619186,104738.07475189245,104738.07475189245,3232
2018-11-06,104751.125,104833.811804113,104685.8459441213,104785.94049646863,5667
2018-11-07,104994.84375,105034.01118736011,104668.44843866576,104668.44843866576,185
2018-11-08,105064.4765625,105064.4765625,104890.39906011826,104899.10293523734,1708
2018-11-09,105212.4375,105255.95687355229,105142.80650231635,105221.14137471047,339
2018-11-12,105490.9609375,105490.9609375,105329.939256201,105338.64313086582,811
2018-11-13,105386.515625,105882.63648646556,105377.81175023745,105882.63648646556,452
2018-11-14,105586.7109375,105608.47062568266,105469.20862131368,105469.20862131368,182
2018-11-15,105325.5859375,105560.59055036773,105325.5859375,105447.4401812092,169
2018-11-16,105356.0546875,105356.0546875,105273.36787519621,105325.59112507229,1846
2018-11-19,105630.2265625,105630.2265625,105356.05450113557,105356.05450113557,1492
2018-11-20,105586.7109375,105712.91712895938,105512.72799767899,105651.99000204795,334
2018-11-21,105499.65625,105621.51048541788,105473.54462812474,105586.6949895842,799
