date,actual_return,var_mc,var_qmc_sobol,var_qmc_halton
2019-01-21,-0.00022563004635439997,-0.0050015829569107694,-0.004968179829342533,-0.004992863269720199
2019-01-22,-0.001157515253737,-0.005044244871984238,-0.004928646042264419,-0.004980766812251823
2019-01-23,0.0022926671544038664,-0.004963497155641308,-0.004974085173623768,-0.004982361313210321
2019-01-24,0.002980145597180167,-0.005001684467582586,-0.004950882535274551,-0.004967353091094622
2019-01-25,0.0054475371193242195,-0.005009967213793215,-0.004928775162379176,-0.004948215448522148
2019-01-28,-0.0007899241035755,-0.004916932135204686,-0.00497088724809672,-0.004950779690357812
2019-01-29,0.0013671633482960667,-0.005000051013917013,-0.0048813964399911005,-0.004902640244197937
2019-01-30,0.0034982683482536287,-0.004964761917015961,-0.004886756998059943,-0.004905904709270529
2019-01-31,0.0006980149112806999,-0.004943403161766746,-0.004875889655394521,-0.004920448310599271
2019-02-01,0.0006278562898215333,-0.004894153411902722,-0.0048991339921282415,-0.004910225760764767
2019-02-07,8.25429463408e-05,-0.004812928939461447,-0.004898473431321989,-0.004893589252647386
2019-02-08,-0.0039288874341312,-0.004972456153537236,-0.004900070054673258,-0.004873242953577898
2019-02-11,0.0011658907606245667,-0.005036699294148216,-0.00492380765289388,-0.004914477867067388
2019-02-12,0.0010896586913443664,-0.004934460519885483,-0.004927255680702314,-0.004925781322173919
2019-02-13,0.0011989879608831997,-0.005016023092094321,-0.004889204508057298,-0.0048858145293213355
2019-02-14,0.0034494587764693336,-0.004791101830310345,-0.004908196449291253,-0.0048835672649409426
2019-02-15,-0.003537229809405299,-0.004828005228876599,-0.004863151942619347,-0.004876577096040865
2019-02-18,0.0016884838397913,-0.004920221392773431,-0.0049178626147504895,-0.004905932981363865
2019-02-19,-0.0017071701898002925,-0.004847290056187593,-0.0049187897965058194,-0.0049273713328529594
2019-02-20,0.0037709151932547166,-0.004967883833210666,-0.004950599033297801,-0.0049112208557689375
2019-02-21,-0.0004718095187368,-0.004897257213867373,-0.004858945378092789,-0.004879632358237275
2019-02-22,0.0002686501600563666,-0.0048441941926559,-0.004850106605877402,-0.0048605205213995755
2019-02-25,0.0007133123401274192,-0.004892926336026834,-0.004883047643095785,-0.004857480898823095
2019-02-26,-0.001337145121913854,-0.004888447918712711,-0.004804534477522206,-0.004785122840523748
2019-02-27,0.0018114382150121668,-0.00463857221471475,-0.004704826334810465,-0.004672660525680941
2019-02-28,-0.005529756511170558,-0.00462881856322894,-0.0046242407455055765,-0.004600985650384195
2019-03-04,-0.0028978506113711334,-0.0046237982091567546,-0.004633603938786009,-0.004674386159867372
2019-03-05,-0.0024744602696157784,-0.004620957422499746,-0.004533815331984242,-0.004536957447724662
2019-03-06,-0.0004684284441079665,-0.004594885681107142,-0.004600372339409592,-0.004569935215971152
2019-03-07,-0.00018465043124959993,-0.004601190256693002,-0.004557539237690557,-0.004566570334187074
2019-03-08,-0.0036409954116763325,-0.004539776189119523,-0.00456451471156766,-0.0045608238571905255
2019-03-11,-7.188553634629998e-05,-0.004661265946208863,-0.004602815529508584,-0.004577996639799507
2019-03-12,0.0030497940098832333,-0.00463499704573638,-0.0045487855887033374,-0.004545388171839793
2019-03-13,-0.0013962858086288001,-0.004661645666680354,-0.004550672916316534,-0.0045708253485731085
