method,violations,violation_rate,expected_rate,kupiec_LR,kupiec_pval,christoffersen_LR,christoffersen_pval,conditional_cov_LR,conditional_cov_pval
MC,1,0.008264462809917356,0.050000000000000044,6.718561433399822,0.009541455874696236,0.01687617424380448,0.8966389536309163,6.735437607643626,0.034468176400189066
QMC-Sobol,1,0.008264462809917356,0.050000000000000044,6.718561433399822,0.009541455874696236,0.01687617424380448,0.8966389536309163,6.735437607643626,0.034468176400189066
QMC-Halton,1,0.008264462809917356,0.050000000000000044,6.718561433399822,0.009541455874696236,0.01687617424380448,0.8966389536309163,6.735437607643626,0.034468176400189066
